Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,adminuserservice,7,0,3900.0,4106.978611488427,3793.2169400155544,5043.887906707823,297.0,0.3713058094321963,0.0,3900,3900,4500,4500,5000,5000,5000,5000,5000,5000,5000
GET,assuranceservice,7,0,60,501.07344226645574,26.182896923273802,1625.5335537716746,108.0,0.3713058094321963,0.0,60,99,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,contactsservice,7,0,1800.0,2174.5249495309376,1613.5303601622581,2939.565763808787,38.0,0.3713058094321963,0.0,1800,2700,2800,2800,2900,2900,2900,2900,2900,2900,2900
GET,foodservice,7,0,1600.0,3842.8791429448343,738.6805438436568,7593.296018894762,1090.0,0.3713058094321963,0.0,1600,6900,7500,7500,7600,7600,7600,7600,7600,7600,7600
POST,travelservice,15,1,5400.0,5815.45788043489,439.3735770136118,15322.570795193315,189.73333333333332,0.795655305926135,0.05304368706174233,5400,9000,9600,9900,14000,15000,15000,15000,15000,15000,15000
GET,uidashboard,26,0,9,24.682054940897686,2.8230161406099796,65.545370336622,20809.80769230769,1.3791358636053006,0.0,9,40,46,49,64,65,66,66,66,66,66
POST,userservice,14,0,1100.0,1058.9400693840746,389.4829982891679,1303.3271953463554,376.5,0.7426116188643926,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
,Aggregated,83,1,1000.0,2133.457296746727,2.8230161406099796,15322.570795193315,6745.819277108434,4.402626026124614,0.05304368706174233,1000,1600,2700,3800,7500,9000,14000,15000,15000,15000,15000
